bNum,name,entrez_GeneID,padj_sp,padj_osmo,padj_cold,sig_sp,sig_osmo,sig_cold,onset_sp,onset_osmo,onset_cold
b1138,ymfE,GeneID:946722,1.6317353601001464e-7,0.01342081925750883,0.4273202018770225,TRUE,FALSE,FALSE,NA,NA,NA
b1139,lit,GeneID:948421,0.00113251360734737,0.23703480062631888,1,TRUE,FALSE,FALSE,NA,NA,NA
b1140,intE,GeneID:948034,0.8394379642729318,0.6235144586260073,1,FALSE,FALSE,FALSE,NA,NA,NA
b1141,xisE,GeneID:945705,0.8079895965958378,NA,0.9859851413340512,FALSE,NA,FALSE,NA,NA,NA
b1142,ymfH,GeneID:945706,0.47071749018347553,0.4039463912500212,1,FALSE,FALSE,FALSE,NA,NA,NA
b1143,ymfI,GeneID:945712,1.2510527844303718e-4,0.8060974055794708,1,TRUE,FALSE,FALSE,NA,NA,NA
b1144,ymfJ,GeneID:945718,0.4031611026644507,0.39901564459931993,0.5244462344579218,FALSE,FALSE,FALSE,NA,NA,NA
b1145,ymfK,GeneID:945719,0.37838120973321254,0.9134437774292324,0.0940105403598626,FALSE,FALSE,FALSE,NA,NA,NA
b1146,ymfT,GeneID:945720,0.5591566975193378,NA,0.7475803211642829,FALSE,NA,FALSE,NA,NA,NA
b1147,ymfL,GeneID:945717,0.9898392296577312,NA,1,FALSE,NA,FALSE,NA,NA,NA
b1149,ymfN,GeneID:945708,0.8772552295714645,NA,1,FALSE,NA,FALSE,NA,NA,NA
b1155,tfaP,GeneID:945724,0.873385675055205,NA,1,FALSE,NA,FALSE,NA,NA,NA
b1156,tfaE,GeneID:945723,0.3254582876467167,NA,1,FALSE,NA,FALSE,NA,NA,NA
b1158,pinE,GeneID:945721,0.9999983765053104,NA,0.7346014471913815,FALSE,NA,FALSE,NA,NA,NA
b1159,mcrA,GeneID:945727,0.0149599075365422,0.7036961341446006,1,FALSE,FALSE,FALSE,NA,NA,NA
b1160,iraM,GeneID:945729,0.9896575679735392,0.07705917031448732,1,FALSE,FALSE,FALSE,NA,NA,NA
b1161,ycgX,GeneID:945733,0.8379919709322042,0.03785629648870929,1,FALSE,FALSE,FALSE,NA,NA,NA
b1162,bluR,GeneID:945735,0.4286055672416445,0.5357350499679687,1,FALSE,FALSE,FALSE,NA,NA,NA
b1163,bluF,GeneID:947592,0.23100413290642052,0.01022777578886283,1,FALSE,FALSE,FALSE,NA,NA,NA
b1164,ycgZ,GeneID:945885,0.018789550663056,0.06062037091570702,0.01139493357887417,FALSE,FALSE,FALSE,NA,NA,NA
b1165,ymgA,GeneID:948991,4.511611518787838e-7,0.00805405828185438,0.00131272296195773,TRUE,TRUE,TRUE,148.3026,28.55355,64.68654
b1167,ymgC,GeneID:945090,6.008188466522458e-10,6.206862196923118e-4,0.00399371066766865,TRUE,TRUE,TRUE,NA,NA,79.75327
b1168,pdeG,GeneID:945738,0.00546031020277263,0.00947873678692059,3.2109224219615795e-5,TRUE,TRUE,TRUE,NA,NA,63.66648
b1171,ymgD,GeneID:945732,0.9384291706512364,0.07159262520925028,1,FALSE,FALSE,FALSE,NA,NA,NA
